step,loss,avg_reward,grad_norm,grad_to_param_ratio
0,1.2463568,240.98236,0.83602905,0.036715783
1,0.33276916,244.42459,0.7847395,0.034462437
2,0.32761982,245.09967,0.9932831,0.043620083
3,0.32206318,245.39906,1.2070084,0.05300566
4,0.31555885,244.54893,1.3948448,0.06125546
5,0.31165528,245.09442,1.5503356,0.068086006
6,0.30627167,244.23065,1.6560501,0.072732076
7,0.30358446,245.11243,1.7403867,0.07644089
8,0.2999671,244.67749,1.7850845,0.07841038
9,0.29869658,245.42795,1.8355542,0.08063494
10,0.2952885,245.08286,1.8733834,0.082305655
11,0.29311937,244.80713,1.8952821,0.08327773
12,0.29007596,244.76508,1.9270293,0.08468369
13,0.29098302,245.87015,1.9598768,0.08613925
14,0.28718016,244.85175,1.975747,0.086849675
15,0.2847523,244.7611,1.9963666,0.08776985
16,0.28371727,244.84187,2.0119364,0.0884689
17,0.28190073,244.89525,2.0274556,0.08916646
18,0.28001955,244.50865,2.0353491,0.08952948
19,0.27938545,245.00407,2.055213,0.09041964
20,0.27717453,244.83012,2.0679817,0.09099838
21,0.27602285,244.65932,2.080626,0.09157234
22,0.27517015,244.94395,2.098402,0.09237291
23,0.27323702,245.08438,2.114564,0.09310306
24,0.27146465,245.2023,2.1302025,0.093810834
25,0.27023068,245.21967,2.1424708,0.09437082
26,0.26906183,245.17912,2.153255,0.09486599
27,0.2666831,244.96252,2.160278,0.095195904
28,0.26624373,245.12975,2.1695986,0.09562756
29,0.2650428,245.28766,2.178396,0.09603667
30,0.26263794,245.12642,2.1823378,0.09623219
31,0.2613186,244.92343,2.1854444,0.096391365
32,0.26044565,245.18147,2.1915998,0.096685454
33,0.25844145,245.27715,2.1963294,0.096917115
34,0.25637197,245.31784,2.1995199,0.097081415
35,0.2555879,245.33908,2.2014863,0.09719227
36,0.25286162,245.13062,2.2005196,0.09717406
37,0.25189567,244.79819,2.1968462,0.09703672
38,0.24955928,244.95982,2.1987138,0.09714455
39,0.24835995,244.9126,2.197346,0.09710988
40,0.24802431,245.73279,2.2059615,0.09751695
41,0.24474916,244.52478,2.1918876,0.09692124
42,0.2436072,244.99716,2.19794,0.097215734
43,0.24169314,244.65874,2.1942809,0.097081
44,0.2397198,244.48097,2.1926532,0.097036295
45,0.23832446,244.66927,2.1952062,0.09717687
46,0.23770571,245.23288,2.2017612,0.097495005
47,0.23602879,245.10052,2.1993473,0.097416304
48,0.23385349,245.19815,2.1990988,0.097433716
49,0.23356417,245.72333,2.2033224,0.0976496
50,0.23050487,244.63228,2.1872497,0.09696602
51,0.23028703,245.25949,2.191578,0.097186886
52,0.22755957,244.84103,2.182384,0.09680812
53,0.22598432,244.67361,2.1753871,0.09652685
54,0.22329906,244.16608,2.163517,0.0960293
55,0.22300541,245.03528,2.168832,0.096294686
56,0.22044954,244.56982,2.1572297,0.09580908
57,0.22077239,244.9923,2.1569881,0.095828086
