step,loss,avg_reward,grad_norm,grad_to_param_ratio
0,2.0459313,242.53854,15.938134,0.6999533
1,0.82165325,231.48837,10.36005,0.4549791
2,0.7568293,229.82158,7.495539,0.32918176
3,0.7780305,229.80904,11.181578,0.49105674
4,0.8496535,228.66942,9.794951,0.43015155
5,0.7686966,229.23366,8.081144,0.3548799
6,0.71208954,228.39061,7.219767,0.317044
7,0.7175971,229.1746,9.25923,0.4065913
8,0.7804353,228.82169,16.71407,0.7339287
9,1.3077857,229.4463,35.36853,1.5530313
10,0.56058156,229.13757,4.1619577,0.18274932
11,0.58903027,228.86714,3.4650254,0.15214577
12,0.70940006,228.89883,5.904075,0.25923878
13,0.7071459,229.96405,9.088378,0.39905006
14,0.82536054,229.02942,10.065938,0.44196406
15,4.928909,228.84624,227.04863,9.968783
16,0.8645439,228.94568,7.516016,0.32998997
17,0.82026327,229.10556,10.929415,0.47984412
18,0.76826924,228.70673,11.26715,0.49466267
19,0.8761349,229.16238,9.709019,0.42624947
20,0.86196077,229.05022,14.062317,0.6173622
21,0.92575526,229.00363,14.871228,0.6528674
22,0.99364173,229.19032,14.121803,0.6199584
23,1.3782079,229.52151,31.550909,1.3850878
24,0.9675528,229.62535,15.398526,0.6759827
25,0.95091724,229.47842,15.349699,0.6738248
26,1.2679486,229.60303,38.98145,1.7111835
27,0.964397,229.40393,12.405846,0.544576
28,0.89782435,229.52016,12.334609,0.5414427
29,0.8767173,229.63593,10.979041,0.4819343
30,0.7990667,229.49805,10.7205,0.47058195
31,0.811273,229.40639,8.571577,0.37625068
32,0.7531559,229.83359,7.49816,0.3291296
33,1.7453804,229.99246,72.18334,3.1684291
34,0.91981846,229.87778,15.096491,0.66264033
35,0.7099285,230.12004,6.722838,0.29508635
36,0.8339678,229.97186,9.979001,0.4380046
37,0.70614576,229.51833,6.683005,0.29333198
38,0.7524297,229.68564,9.563923,0.41977882
39,0.76313305,229.64691,6.0566883,0.26583788
40,0.6939205,230.45326,6.066359,0.26626062
41,0.67316264,229.23792,5.636682,0.24739964
42,0.74579746,229.76797,10.944327,0.48035324
43,0.66150016,229.42862,4.663591,0.20468591
44,0.8614818,229.19714,34.914146,1.5323751
45,0.6900464,229.5377,4.4964714,0.19734786
46,0.6633318,230.20486,3.6671693,0.16094925
47,0.6116754,229.8259,3.921419,0.17210728
48,0.5892862,230.07458,3.1690454,0.13908574
49,0.6995535,230.50948,6.791807,0.29808307
50,1.2583448,229.33458,54.167473,2.3773215
51,1.0567641,230.0174,18.819029,0.8259318
52,0.68553156,229.6372,6.9312577,0.3041979
53,0.7236843,229.54916,7.2132325,0.3165715
54,0.86724544,229.0632,7.9575195,0.34923518
55,2.0562859,229.9422,79.32871,3.4815264
56,0.89714146,229.46481,11.946645,0.52430505
57,0.95643806,229.78008,13.580837,0.59602374
58,1.0515747,230.36517,14.237948,0.62486064
59,1.019397,229.66437,15.28658,0.67088
60,1.0166273,229.956,14.040199,0.6161795
61,0.96872777,229.8747,12.581723,0.5521719
62,0.9781553,230.49104,13.582127,0.5960775
63,0.79189587,230.08444,9.370056,0.41122383
64,2.873221,230.0613,253.09013,11.107402
65,0.76340204,230.11583,7.822545,0.3433081
66,0.8176296,230.0781,11.101549,0.4872107
67,0.90844524,230.16345,9.834222,0.43158826
68,1.0792866,229.99942,13.211599,0.5798039
69,1.3125167,230.8789,15.738475,0.69069237
70,1.359385,230.12926,19.935928,0.8748935
71,1.6661716,229.94775,24.994617,1.0968885
72,1.5505826,230.0664,15.658575,0.68717295
73,1.80919,230.21338,27.136652,1.1908798
74,1.6637064,230.4845,14.875907,0.6528187
