step,loss,avg_reward,grad_norm,grad_to_param_ratio
0,1.0420691,246.0611,4.8654084,0.2136736
1,0.23116037,244.6809,2.305153,0.10123453
2,0.21332821,245.27243,1.6953388,0.07445175
3,0.20688026,245.61389,1.3881596,0.06096007
4,0.21645361,244.79607,1.8713516,0.08217678
5,0.21566193,245.56177,2.0143166,0.08845254
6,0.20334747,244.58437,1.0747089,0.04719136
7,0.19927773,245.39268,1.0928235,0.047985666
8,0.20307222,244.98969,1.2524922,0.05499551
9,0.20545109,245.73708,1.0489693,0.046058208
10,0.20706862,245.37991,1.2341008,0.054186173
11,0.20626095,245.12918,1.4374031,0.0631118
12,0.20036945,245.00723,0.79598844,0.03494886
13,0.19944382,246.13304,0.6095223,0.026761502
14,0.2022354,245.15085,0.92776906,0.040733907
15,0.20336759,245.06798,0.9447799,0.04148037
16,0.20312336,245.10568,0.8999427,0.039511457
17,0.20121394,245.18506,0.70019436,0.03074133
18,0.20056273,244.79758,0.85025597,0.037329283
19,0.19882762,245.26822,0.648613,0.028476147
20,0.19963948,245.1461,0.49449643,0.021709746
21,0.20134427,244.98062,0.7392762,0.032455973
22,0.20207642,245.22668,0.81985855,0.03599348
23,0.19978392,245.37149,0.54071075,0.02373816
24,0.1980963,245.49968,0.3058937,0.013429195
25,0.20024425,245.51642,0.6258574,0.027475925
26,0.19940227,245.45789,0.5616361,0.024656387
27,0.1994457,245.25189,0.4596844,0.020180486
28,0.2002157,245.39536,0.57789385,0.025369799
29,0.20019574,245.56815,0.5482985,0.0240704
30,0.19786543,245.43176,0.33850068,0.014860152
31,0.19787917,245.21538,0.36348477,0.01595687
32,0.1999462,245.50473,0.50923455,0.022355126
33,0.19961667,245.57114,0.44356674,0.019472243
34,0.19812103,245.60867,0.38818884,0.017041106
35,0.19837481,245.63783,0.48825717,0.021433897
36,0.1977037,245.409,0.3911011,0.017168796
37,0.19834082,245.07236,0.43987748,0.019309953
38,0.19767478,245.24182,0.3156913,0.013858323
39,0.19948547,245.21918,0.5116019,0.022458415
40,0.19805573,246.038,0.32717174,0.01436223
41,0.19772586,244.80804,0.45033115,0.019768674
42,0.19735649,245.27718,0.25402182,0.011151056
43,0.19949302,244.95724,0.5571548,0.024457967
44,0.19749342,244.76031,0.30644146,0.013452161
45,0.19875742,244.95792,0.42938006,0.018848917
46,0.19827798,245.54794,0.35342336,0.015514562
47,0.1986891,245.35916,0.21055372,0.0092428755
48,0.1974015,245.47325,0.34892446,0.015317072
49,0.19806927,245.98871,0.27333373,0.011998806
50,0.19815722,244.91113,0.2797408,0.012280074
51,0.19831169,245.52159,0.19286682,0.008466482
52,0.19752942,245.14275,0.26436865,0.011605287
53,0.19779415,244.94638,0.25330856,0.011119786
54,0.19747171,244.46252,0.27385777,0.012021878
55,0.19781344,245.34637,0.23800342,0.010447949
56,0.19802688,244.83643,0.26342598,0.011563985
57,0.19923833,245.2981,0.11871886,0.0052115843
58,0.19815749,245.57162,0.25699338,0.011281665
59,0.19780369,244.93654,0.24244748,0.010643152
60,0.19676913,245.11258,0.29487842,0.012944847
61,0.19791913,245.3176,0.27709508,0.012164211
62,0.19798484,245.89987,0.37124756,0.016297458
63,0.19778965,245.25586,0.2510656,0.01102161
64,0.19742334,245.49133,0.31751463,0.013938719
65,0.19904225,245.46265,0.30784926,0.0135144545
66,0.19820623,245.36491,0.31049702,0.013630739
67,0.19687438,245.59077,0.20410897,0.008960366
68,0.19904843,245.25635,0.40989813,0.017994558
69,0.19789329,245.96648,0.29090124,0.012770634
70,0.19730403,245.24689,0.35309908,0.015501184
71,0.19769353,245.05978,0.3260143,0.014312196
72,0.19874531,245.03433,0.5221331,0.02292197
73,0.19728324,245.25523,0.14564167,0.0063937786
74,0.19772835,245.4985,0.6038141,0.02650796
75,0.19854766,245.5044,0.23229674,0.010198055
76,0.19834884,245.03093,0.50570184,0.02220086
77,0.1978077,245.36508,0.28224847,0.012391047
78,0.19865584,245.06906,0.51465946,0.022594228
79,0.19792847,245.8422,0.3083336,0.013536284
80,0.19755788,245.161,0.44055983,0.01934126
81,0.19793394,245.3601,0.3380912,0.014842777
82,0.19743423,244.7638,0.34221604,0.015023906
83,0.19778587,245.68127,0.24927405,0.010943607
84,0.19815615,244.72397,0.25057378,0.011000693
85,0.1972338,244.99226,0.285829,0.012548512
86,0.1979414,245.13249,0.23854946,0.0104728695
87,0.19703409,244.75452,0.24040043,0.010554162
88,0.19804966,245.32245,0.2942315,0.012917502
89,0.19764909,245.19781,0.22629307,0.009934853
90,0.19821681,245.27791,0.2131282,0.009356904
91,0.19844003,245.14738,0.194578,0.008542518
92,0.19727966,245.87064,0.24764332,0.010872255
93,0.19773467,245.27441,0.16236135,0.007128149
94,0.19824204,245.10262,0.31397617,0.013784519
95,0.19721691,245.32227,0.27039984,0.011871406
96,0.19859849,245.41296,0.22903599,0.0100554265
97,0.19766152,246.01216,0.18155694,0.00797096
98,0.19752043,245.85138,0.23889817,0.010488459
99,0.19760728,244.87741,0.16983522,0.0074563753
100,0.19798751,245.41017,0.37511814,0.016469074
101,0.19751707,245.68608,0.122640915,0.005384404
102,0.19732952,245.4944,0.33947873,0.014904449
103,0.19825661,245.54619,0.22242771,0.009765473
104,0.19740568,245.1618,0.29532564,0.012966008
105,0.19839266,245.48837,0.34785095,0.015272111
