step,loss,avg_reward,grad_norm,grad_to_param_ratio
0,2.449412,242.13776,20.16323,0.88550645
1,0.8075562,237.86255,13.065493,0.57378507
2,0.4875329,237.30515,4.4006634,0.1932545
3,0.58178437,237.05661,8.5211115,0.3741929
4,0.69722056,235.67938,12.275064,0.53902704
5,0.6592095,236.69281,11.963214,0.5253185
6,0.6111312,235.84662,12.377083,0.5434769
7,0.50028384,236.575,10.512193,0.46157476
8,0.36940193,236.34685,3.7486167,0.16459028
9,0.34493908,237.38008,1.5490311,0.06801075
10,0.3843966,236.9306,4.0017586,0.17569257
11,0.4340518,236.25113,5.761682,0.2529522
12,0.45973146,236.36978,6.7546916,0.29653966
13,0.4633183,237.30643,6.8896575,0.3024576
14,0.43491548,236.3752,6.1702657,0.2708703
15,0.3929111,235.93384,4.8334403,0.21218051
16,0.36511344,236.44933,3.542271,0.1554972
17,0.35510927,236.62183,3.7361486,0.16400453
18,0.3511906,236.03598,3.7064376,0.16269651
19,0.34724513,236.29532,2.8541868,0.12528329
20,0.3493619,236.21979,2.494294,0.109483175
21,0.3630104,236.00703,3.394289,0.14898337
22,0.37546998,236.35176,3.8853421,0.17053282
23,0.37495086,237.07372,3.860866,0.16945478
24,0.36692587,236.86804,3.5126264,0.15416728
25,0.35415506,236.88504,2.9115233,0.12778279
26,0.34313893,236.73656,1.9876246,0.087232664
27,0.3353476,236.35886,1.2925566,0.05672671
28,0.33491617,236.41422,1.3169407,0.057795934
29,0.3391139,236.78197,2.1973345,0.09643176
30,0.3417834,236.87416,2.2022235,0.09664462
31,0.34388676,236.24596,2.1555474,0.09459456
32,0.34484357,236.71735,2.0694723,0.09081568
33,0.34407076,236.4102,2.1970143,0.09641115
34,0.3432774,236.75957,2.1223173,0.09313195
35,0.34043175,237.01524,1.8224797,0.07997342
36,0.3332861,236.91576,1.3295137,0.05834065
37,0.3349942,236.05669,0.9194312,0.04034539
38,0.3311376,236.15549,0.64692277,0.02838729
39,0.33296686,236.43724,1.0945909,0.048030864
40,0.33511835,237.71243,1.4010099,0.061476156
41,0.3356109,236.49913,1.5349926,0.067354806
42,0.33547142,236.67807,1.3701425,0.06012081
43,0.33386114,236.35661,1.2763481,0.056004792
44,0.33303517,236.33878,1.2779703,0.0560756
45,0.33416867,236.01584,1.1904159,0.05223353
46,0.3334722,236.95251,0.8918034,0.03913069
