step,loss,avg_reward,grad_norm,success_count
0,1.8382599,-6.104405,9.516554,0.0
1,1.1551179,-6.716031,3.8222141,0.0
2,1.0081487,-5.8364735,2.8319101,0.0
3,1.1479597,-6.1818905,5.217518,0.0
4,1.1295885,-6.4890213,5.0791636,0.0
5,0.99371636,-6.9386134,3.59508,0.0
6,0.882589,-6.41327,2.4570441,0.0
7,0.8252186,-6.355381,1.872076,0.0
8,0.8102492,-5.917731,1.9122936,0.0
9,0.8104165,-5.223714,2.1692472,0.0
10,0.805445,-6.1554146,2.3222606,0.0
11,0.7921778,-6.309116,2.3561645,0.0
12,0.7710204,-5.884529,2.2904696,0.0
13,0.74823946,-6.2943525,2.1653085,0.0
14,0.72561455,-6.289479,2.0192912,0.0
15,0.70359355,-6.2559075,1.8863281,0.0
16,0.6816724,-6.7307973,1.7370423,0.0
17,0.6595895,-6.5566196,1.6382705,0.0
18,0.640315,-6.263442,1.5672888,0.0
19,0.62540835,-6.7402782,1.5607793,0.0
20,0.6107511,-7.03349,1.5760524,0.0
21,0.59903425,-7.0530233,1.6038067,0.0
22,0.5843674,-6.308668,1.61566,0.0
23,0.56708646,-6.8651047,1.6034018,0.0
24,0.5479933,-5.5721188,1.5682561,0.0
25,0.527415,-6.706975,1.5287429,0.0
26,0.5078658,-6.112147,1.4937627,0.0
27,0.48943484,-6.1335893,1.4742767,0.0
28,0.47188815,-6.8137107,1.4605745,0.0
29,0.45392042,-6.336348,1.4544964,0.0
30,0.43679503,-5.5585737,1.4513944,0.0
31,0.4189485,-6.993446,1.4425733,0.0
32,0.4009303,-6.6392236,1.434295,0.0
33,0.38288313,-6.8937674,1.413254,0.0
34,0.3653909,-6.2086635,1.3928775,0.0
35,0.34787795,-6.7306886,1.3638237,0.0
36,0.32987845,-5.8140984,1.3407199,0.0
37,0.3122166,-6.9759874,1.2945598,0.0
38,0.2936952,-6.4512434,1.2588127,0.0
39,0.27611235,-6.6213636,1.2221246,0.0
40,0.25895065,-6.706733,1.1851076,0.0
41,0.24227725,-6.9017587,1.1510316,0.0
42,0.22559725,-6.234087,1.1202823,0.0
43,0.20984787,-5.865161,1.0896611,0.0
44,0.19402826,-7.099942,1.0598915,0.0
45,0.17851141,-6.264052,1.0255814,0.0
46,0.16347463,-6.3917727,0.9915005,0.0
47,0.1494672,-7.1253653,0.9533361,0.0
48,0.13596082,-6.4057436,0.91491824,0.0
49,0.12251652,-7.133951,0.87461394,0.0
50,0.11032114,-6.205664,0.83631974,0.0
51,0.0984599,-6.3318105,0.7930662,0.0
52,0.087603785,-6.0328593,0.7517168,0.0
53,0.07748586,-6.220478,0.70524293,0.0
54,0.06795412,-6.4245467,0.6586522,0.0
55,0.05947458,-7.7778482,0.6109673,0.0
56,0.05164384,-6.8554225,0.56787366,0.0
57,0.044710234,-6.60093,0.5233968,0.0
58,0.03838979,-6.590501,0.47785795,0.0
59,0.03263687,-6.724412,0.4289686,0.0
60,0.027834687,-6.8447742,0.38280132,0.0
61,0.023639135,-7.1621366,0.33747715,0.0
62,0.020083107,-7.227167,0.29530984,0.0
63,0.017771224,-6.2839384,0.2547754,0.0
64,0.015093224,-6.533269,0.21351129,0.0
65,0.013151639,-6.504345,0.17823708,0.0
66,0.011779149,-6.6897097,0.14807504,0.0
67,0.0110004665,-7.0675163,0.12383927,0.0
68,0.010191802,-6.2916794,0.10980573,0.0
69,0.009883572,-6.1357207,0.10420761,0.0
70,0.009468491,-6.5481954,0.10364784,0.0
71,0.009369583,-6.461936,0.10759614,0.0
72,0.009622833,-5.771079,0.11607622,0.0
73,0.00939198,-7.176173,0.12622844,0.0
74,0.0098355105,-7.2579803,0.13941994,0.0
75,0.009781523,-5.881185,0.14904134,0.0
76,0.009851633,-6.5806684,0.15772228,0.0
77,0.009908303,-6.6717386,0.16222599,0.0
78,0.009962612,-6.641258,0.16665097,0.0
79,0.009949944,-6.67148,0.16832387,0.0
80,0.009890152,-6.7247896,0.17091799,0.0
81,0.009490548,-6.247363,0.16678555,0.0
82,0.009446716,-7.0221844,0.16440909,0.0
83,0.009112501,-6.577853,0.16014057,0.0
84,0.008834307,-6.5743504,0.15393734,0.0
85,0.008515485,-6.637444,0.14765874,0.0
86,0.008353487,-7.244114,0.1408748,0.0
87,0.008168634,-5.9641027,0.13243105,0.0
88,0.0076194513,-6.996274,0.12339532,0.0
89,0.007483651,-6.369051,0.11255193,0.0
90,0.0071585705,-6.9466486,0.10414453,0.0
91,0.006943224,-6.3981323,0.09278596,0.0
92,0.006648808,-5.4600725,0.082522035,0.0
93,0.0064686104,-6.748864,0.074570455,0.0
94,0.006321379,-6.1579638,0.06329136,0.0
95,0.0061081694,-6.31892,0.05580225,0.0
96,0.005863062,-5.6962776,0.047581747,0.0
97,0.0059334175,-6.976453,0.041821558,0.0
98,0.0057581044,-6.4941072,0.035674598,0.0
99,0.0056127505,-7.2881136,0.032457087,0.0
